load,name,time ,group
20.322,DSC02098.JPG,18:06:56,A-1
20.1865,DSC02099.JPG,18:06:58,A-2
29.0605,DSC02100.JPG,18:07:00,A-3
38.815,DSC02101.JPG,18:07:02,A-4
46.3342,DSC02102.JPG,18:07:04,A-5
57.7822,DSC02103.JPG,18:07:06,A-6
66.1142,DSC02104.JPG,18:07:08,A-7
74.1753,DSC02105.JPG,18:07:10,A-8
81.6944,DSC02106.JPG,18:07:12,A-9
83.1847,DSC02107.JPG,18:07:14,A-10
82.7783,DSC02108.JPG,18:07:16,A-11
86.4362,DSC02109.JPG,18:07:18,A-12
86.3685,DSC02110.JPG,18:07:20,A-13
86.233,DSC02111.JPG,18:07:22,A-14
86.1653,DSC02112.JPG,18:07:24,A-15
89.9587,DSC02113.JPG,18:07:26,A-16
89.891,DSC02114.JPG,18:07:28,A-17
89.8232,DSC02115.JPG,18:07:30,A-18
89.8232,DSC02116.JPG,18:07:32,A-19
89.6878,DSC02117.JPG,18:07:34,A-20
89.62,DSC02118.JPG,18:07:36,A-21
89.6878,DSC02119.JPG,18:07:38,A-22
89.62,DSC02120.JPG,18:07:40,A-23
90.0265,DSC02121.JPG,18:07:42,A-24
92.3974,DSC02122.JPG,18:07:44,A-25
92.1941,DSC02123.JPG,18:07:46,A-26
104.794,DSC02124.JPG,18:07:48,A-27
104.184,DSC02125.JPG,18:07:50,A-28
112.516,DSC02126.JPG,18:07:52,A-29
123.287,DSC02127.JPG,18:07:54,A-30
136.97,DSC02128.JPG,18:07:56,A-31
147.47,DSC02129.JPG,18:07:58,A-32
155.057,DSC02130.JPG,18:08:00,A-33
162.576,DSC02131.JPG,18:08:02,A-34
171.653,DSC02132.JPG,18:08:04,A-35
180.256,DSC02133.JPG,18:08:06,A-36
186.556,DSC02134.JPG,18:08:08,A-37
194.211,DSC02135.JPG,18:08:10,A-38
198.614,DSC02136.JPG,18:08:12,A-39
197.462,DSC02137.JPG,18:08:14,A-40
205.591,DSC02138.JPG,18:08:16,A-41
211.01,DSC02139.JPG,18:08:18,A-42
218.394,DSC02140.JPG,18:08:20,A-43
224.152,DSC02141.JPG,18:08:22,A-44
228.69,DSC02142.JPG,18:08:24,A-45
227.064,DSC02143.JPG,18:08:26,A-46
226.319,DSC02144.JPG,18:08:28,A-47
225.303,DSC02145.JPG,18:08:30,A-48
222.323,DSC02146.JPG,18:08:32,A-49
214.736,DSC02147.JPG,18:08:34,A-50
203.83,DSC02148.JPG,18:08:36,A-51
197.936,DSC02149.JPG,18:08:38,A-52
186.556,DSC02150.JPG,18:08:40,A-53
